sample-id,frequency
SRR5378059,49980.0
SRR5383203,49869.0
SRR5377986,49788.0
SRR5383243,49779.0
SRR5383280,49649.0
SRR5383098,49642.0
SRR5377859,49586.0
SRR5383121,49573.0
SRR5383236,49556.0
SRR5377864,49260.0
SRR5383247,49221.0
SRR5383108,49209.0
SRR5377998,49204.0
SRR5378006,49181.0
SRR5378052,49177.0
SRR5383337,49156.0
SRR5377886,49155.0
SRR5383275,49089.0
SRR5377894,49071.0
SRR5382846,49043.0
SRR5383147,48925.0
SRR5383125,48906.0
SRR5382879,48771.0
SRR5377892,48752.0
SRR5378029,48736.0
SRR5378014,48723.0
SRR5377993,48665.0
SRR5383288,48582.0
SRR5383310,48517.0
SRR5378020,48360.0
SRR5383287,48203.0
SRR7876582,48131.0
SRR5383209,48056.0
SRR5383188,48049.0
SRR5383210,47957.0
SRR5382894,47839.0
SRR5383358,47823.0
SRR5383221,47818.0
SRR5378050,47796.0
SRR5383004,47740.0
SRR5377858,47681.0
SRR5383255,47663.0
SRR5377865,47606.0
SRR5383038,47582.0
SRR5377987,47532.0
SRR5382882,47518.0
SRR5377910,47461.0
SRR5383283,47374.0
SRR5382878,47348.0
SRR5383056,47337.0
SRR5383257,47210.0
SRR5383220,47210.0
SRR7876646,47075.0
SRR5378039,46976.0
SRR5382862,46865.0
SRR5378046,46725.0
SRR5378061,46631.0
SRR7876565,46628.0
SRR5378048,46622.0
SRR5377861,46607.0
SRR5378060,46604.0
SRR5382986,46596.0
SRR5378038,46587.0
SRR5383157,46581.0
SRR5383205,46568.0
SRR5383154,46526.0
SRR5378055,46466.0
SRR5383172,46388.0
SRR5383270,46270.0
SRR5382910,46220.0
SRR5382886,46184.0
SRR5382914,46029.0
SRR5383278,45932.0
SRR5378056,45919.0
SRR7876538,45919.0
SRR5378054,45887.0
SRR7876580,45864.0
SRR5383389,45839.0
SRR5377972,45761.0
SRR5383354,45689.0
SRR5383106,45146.0
SRR5377949,44511.0
SRR5377891,44470.0
SRR5378057,44418.0
SRR5378040,44318.0
SRR5378062,44046.0
SRR5378041,43093.0
SRR5377981,42482.0
SRR7876544,40958.0
SRR7876533,39922.0
SRR7876553,39291.0
SRR7876545,36115.0
SRR5383134,35900.0
SRR7876594,35525.0
SRR5377934,34007.0
SRR7876585,33940.0
SRR7876603,33023.0
SRR7876536,32935.0
SRR7876601,31916.0
SRR7876609,31531.0
SRR5383018,31512.0
SRR7876645,30649.0
SRR7876612,28679.0
SRR5383118,27063.0
SRR7876615,26165.0
SRR7876597,24334.0
SRR7876574,22322.0
SRR7876600,19716.0
SRR7876610,19293.0
SRR7876619,18799.0
SRR7876636,18286.0
SRR7876644,18193.0
SRR7876543,16897.0
SRR7876557,14985.0
SRR7876577,14696.0
SRR7876595,11302.0
SRR7876555,69.0
