sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
SRR5383346	74820	64784	86.59	64447	62205	83.14	60854	81.33
SRR5383347	65026	57154	87.89	56952	55093	84.72	54748	84.19
SRR5383348	64489	55848	86.6	55637	53448	82.88	52941	82.09
SRR5383349	81660	71020	86.97	70733	68190	83.5	67160	82.24
SRR5383350	74852	66193	88.43	65931	63635	85.01	62875	84
SRR5383351	78434	68413	87.22	68207	65623	83.67	64790	82.6
SRR5383352	299377	262542	87.7	262151	252821	84.45	247877	82.8
SRR5383353	70691	61941	87.62	61732	59803	84.6	59119	83.63
SRR5383354	56953	48386	84.96	48191	45863	80.53	45689	80.22
SRR5383355	65766	59427	90.36	59256	57331	87.17	56784	86.34
SRR5383356	69399	60202	86.75	59961	57131	82.32	56626	81.59
SRR5383357	69774	60810	87.15	60582	58104	83.27	57528	82.45
SRR5383358	59008	51327	86.98	51163	48378	81.99	47823	81.04
SRR5383359	60724	52865	87.06	52646	50538	83.23	50077	82.47
SRR5383361	62814	54729	87.13	54570	52592	83.73	52101	82.94
SRR5383362	70298	63248	89.97	63091	61189	87.04	60013	85.37
SRR5383363	65126	55866	85.78	55697	53451	82.07	52712	80.94
SRR5383364	73346	64946	88.55	64729	62561	85.3	61753	84.19
SRR5383365	267999	235696	87.95	235229	227270	84.8	222474	83.01
SRR5383366	62910	54478	86.6	54323	51763	82.28	51026	81.11
SRR5383367	63414	55945	88.22	55723	53607	84.53	53057	83.67
SRR5383368	83565	72233	86.44	72058	68431	81.89	67528	80.81
SRR5383369	61139	55110	90.14	54939	52945	86.6	52548	85.95
SRR5383370	59724	52886	88.55	52595	50680	84.86	50148	83.97
SRR5383371	66453	58664	88.28	58414	56251	84.65	55356	83.3
SRR5383372	66097	56387	85.31	56142	53640	81.15	52705	79.74
SRR5383373	66944	57555	85.97	57327	54908	82.02	54378	81.23
